pasajero,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,has_cabin_number
1205,3,0,male,21,0,0,STON/O 2. 3101280,7.925,,S,NA,NA,0
1206,3,1,female,18,0,0,3101265,7.4958,,S,16,NA,0
1207,3,0,male,4,3,2,347088,27.9,,S,NA,NA,0
1208,3,0,male,10,3,2,347088,27.9,,S,NA,NA,0
1209,3,0,female,9,3,2,347088,27.9,,S,NA,NA,0
1210,3,0,female,2,3,2,347088,27.9,,S,NA,NA,0
1211,3,0,male,40,1,4,347088,27.9,,S,NA,NA,0
1212,3,0,female,45,1,4,347088,27.9,,S,NA,NA,0
1213,3,0,male,29.88113451,0,0,349214,7.8958,,S,NA,NA,0
1214,3,0,male,29.88113451,0,0,SOTON/OQ 392086,8.05,,S,NA,NA,0
1215,3,0,male,29.88113451,0,0,315037,8.6625,,S,NA,NA,0
1216,3,0,male,29.88113451,0,0,384461,7.75,,Q,NA,NA,0
1217,3,1,female,29.88113451,0,0,335432,7.7333,,Q,13,NA,0
1218,3,0,male,19,0,0,348124,7.65,F G73,S,NA,NA,1
1219,3,0,male,30,0,0,A.5. 18509,8.05,,S,NA,NA,0
1220,3,0,male,29.88113451,0,0,A.5. 3236,8.05,,S,NA,NA,0
1221,3,0,male,32,0,0,STON/OQ. 369943,8.05,,S,NA,NA,0
1222,3,0,male,29.88113451,0,0,349208,7.8958,,S,NA,NA,0
1223,3,0,male,33,0,0,349239,8.6625,,C,NA,NA,0
1224,3,1,female,23,0,0,CA. 2314,7.55,,S,C,NA,0
1225,3,0,male,21,0,0,A/4 45380,8.05,,S,NA,NA,0
1226,3,0,male,60.5,0,0,3701,,,S,NA,261,0
1227,3,0,male,19,0,0,349205,7.8958,,S,NA,NA,0
1228,3,0,female,22,0,0,7553,9.8375,,S,NA,NA,0
1229,3,1,male,31,0,0,STON/O 2. 3101288,7.925,,S,9,NA,0
1230,3,0,male,27,0,0,315083,8.6625,,S,NA,NA,0
1231,3,0,female,2,0,1,347054,10.4625,G6,S,NA,NA,1
1232,3,0,female,29,1,1,347054,10.4625,G6,S,NA,NA,1
1233,3,1,male,16,0,0,SOTON/OQ 392089,8.05,,S,B,NA,0
1234,3,1,male,44,0,0,STON/O 2. 3101269,7.925,,S,15,NA,0
1235,3,0,male,25,0,0,SOTON/OQ 392076,7.05,,S,NA,NA,0
1236,3,0,male,74,0,0,347060,7.775,,S,NA,NA,0
1237,3,1,male,14,0,0,7538,9.225,,S,13,NA,0
1238,3,0,male,24,0,0,350035,7.7958,,S,NA,NA,0
1239,3,1,male,25,0,0,350033,7.7958,,S,13 15,NA,0
1240,3,0,male,34,0,0,363294,8.05,,S,NA,176,0
1241,3,1,male,0.4167,0,1,2625,8.5167,,C,16,NA,0
1242,3,0,male,29.88113451,1,0,2621,6.4375,,C,NA,NA,0
1243,3,0,male,29.88113451,0,0,2681,6.4375,,C,NA,NA,0
1244,3,0,male,29.88113451,0,0,2684,7.225,,C,NA,NA,0
1245,3,1,female,16,1,1,2625,8.5167,,C,14,NA,0
1246,3,0,male,29.88113451,0,0,32302,8.05,,S,NA,NA,0
1247,3,0,male,29.88113451,1,0,376564,16.1,,S,NA,NA,0
1248,3,1,female,29.88113451,1,0,376564,16.1,,S,10,NA,0
1249,3,0,male,32,0,0,STON/O 2. 3101293,7.925,,S,NA,NA,0
1250,3,0,male,29.88113451,0,0,383121,7.75,F38,Q,NA,NA,1
1251,3,0,male,29.88113451,0,0,349216,7.8958,,S,NA,NA,0
1252,3,0,male,30.5,0,0,364499,8.05,,S,NA,50,0
1253,3,0,male,44,0,0,364511,8.05,,S,NA,NA,0
1254,3,0,male,29.88113451,0,0,2673,7.2292,,C,NA,NA,0
1255,3,1,male,25,0,0,LINE,0,,S,15,NA,0
1256,3,0,male,29.88113451,0,0,2641,7.2292,,C,NA,NA,0
1257,3,1,male,7,1,1,2650,15.2458,,C,C,NA,0
1258,3,1,female,9,1,1,2650,15.2458,,C,C,NA,0
1259,3,1,female,29,0,2,2650,15.2458,,C,C,NA,0
1260,3,0,male,36,0,0,349247,7.8958,,S,NA,NA,0
1261,3,1,female,18,0,0,4138,9.8417,,S,15,NA,0
1262,3,1,female,63,0,0,4134,9.5875,,S,15,NA,0
1263,3,0,male,29.88113451,1,1,A/5. 851,14.5,,S,NA,NA,0
1264,3,0,male,11.5,1,1,A/5. 851,14.5,,S,NA,1,0
1265,3,0,male,40.5,0,2,A/5. 851,14.5,,S,NA,255,0
1266,3,0,female,10,0,2,345773,24.15,,S,NA,NA,0
1267,3,0,male,36,1,1,345773,24.15,,S,NA,NA,0
1268,3,0,female,30,1,1,345773,24.15,,S,NA,NA,0
1269,3,0,male,29.88113451,0,0,345777,9.5,,S,NA,NA,0
1270,3,0,male,33,0,0,345780,9.5,,S,NA,NA,0
1271,3,0,male,28,0,0,345770,9.5,,S,NA,NA,0
1272,3,0,male,28,0,0,345783,9.5,,S,NA,NA,0
1273,3,0,male,47,0,0,345765,9,,S,NA,NA,0
1274,3,0,female,18,2,0,345764,18,,S,NA,NA,0
1275,3,0,male,31,3,0,345763,18,,S,NA,NA,0
1276,3,0,male,16,2,0,345764,18,,S,NA,NA,0
1277,3,0,female,31,1,0,345763,18,,S,NA,NA,0
1278,3,1,male,22,0,0,2658,7.225,,C,13 15,NA,0
1279,3,0,male,20,0,0,350416,7.8542,,S,NA,NA,0
1280,3,0,female,14,0,0,350406,7.8542,,S,NA,NA,0
1281,3,0,male,22,0,0,349252,7.8958,,S,NA,NA,0
1282,3,0,male,22,0,0,345767,9,,S,NA,NA,0
1283,3,0,male,29.88113451,0,0,359309,8.05,,S,NA,NA,0
1284,3,0,male,29.88113451,0,0,C.A. 49867,7.55,,S,NA,NA,0
1285,3,0,male,29.88113451,0,0,SOTON/OQ 3101316,8.05,,S,NA,NA,0
1286,3,0,male,32.5,0,0,345775,9.5,,S,NA,298,0
1287,3,1,female,38,0,0,2688,7.2292,,C,C,NA,0
1288,3,0,male,51,0,0,347064,7.75,,S,NA,NA,0
1289,3,0,male,18,1,0,3101267,6.4958,,S,NA,314,0
1290,3,0,male,21,1,0,3101266,6.4958,,S,NA,NA,0
1291,3,1,female,47,1,0,363272,7,,S,NA,NA,0
1292,3,0,male,29.88113451,0,0,3410,8.7125,,S,NA,NA,0
1293,3,0,male,29.88113451,0,0,S.O./P.P. 751,7.55,,S,NA,NA,0
1294,3,0,male,29.88113451,0,0,A/5 2466,8.05,,S,NA,NA,0
1295,3,0,male,28.5,0,0,54636,16.1,,S,NA,14,0
1296,3,0,male,21,0,0,SOTON/OQ 3101317,7.25,,S,NA,NA,0
1297,3,0,male,27,0,0,315154,8.6625,,S,NA,131,0
1298,3,0,male,29.88113451,0,0,A/4. 34244,7.25,,S,NA,NA,0
1299,3,0,male,36,0,0,345771,9.5,,S,NA,NA,0
1300,3,0,male,27,1,0,2659,14.4542,,C,C,NA,0
1301,3,1,female,15,1,0,2659,14.4542,,C,NA,NA,0
1302,3,0,male,45.5,0,0,2628,7.225,,C,NA,312,0
1303,3,0,male,29.88113451,0,0,2647,7.225,,C,NA,NA,0
1304,3,0,male,29.88113451,0,0,2627,14.4583,,C,NA,NA,0
1305,3,0,female,14.5,1,0,2665,14.4542,,C,NA,328,0
1306,3,0,female,29.88113451,1,0,2665,14.4542,,C,NA,NA,0
1307,3,0,male,26.5,0,0,2656,7.225,,C,NA,304,0
1308,3,0,male,27,0,0,2670,7.225,,C,NA,NA,0
1309,3,0,male,29,0,0,315082,7.875,,S,NA,NA,0
1310,,,,29.88113451,,,,,,S,NA,NA,0
